fid,name
0,대칭구분
10,현재가
11,전일대비
12,등락율
13,누적거래량
14,누적거래대금
15,거래량
16,시가
17,고가
18,저가
19,종가
20,체결시간
21,호가시간
22,체결일자
23,예상체결가
24,예상체결량
25,전일대비기호
26,거래량전일대비
27,매도호가
28,매수호가
29,거래대금증감
30,전일거래량대비율
31,거래회전율
32,거래비용
36,NAV
37,NAV전일대비
38,NAV등락율
39,추적오차율
40,괴리율
41,매도호가1
42,매도호가2
43,매도호가3
44,매도호가4
45,매도호가5
46,매도호가6
47,매도호가7
48,매도호가8
49,매도호가9
50,매도호가10
51,매수호가1
52,매수호가2
53,매수호가3
54,매수호가4
55,매수호가5
56,매수호가6
57,매수호가7
58,매수호가8
59,매수호가9
60,매수호가10
61,매도수량1
62,매도수량2
63,매도수량3
64,매도수량4
65,매도수량5
66,매도수량6
67,매도수량7
68,매도수량8
69,매도수량9
70,매도수량10
71,매수수량1
72,매수수량2
73,매수수량3
74,매수수량4
75,매수수량5
76,매수수량6
77,매수수량7
78,매수수량8
79,매수수량9
80,매수수량10
81,매도호가직전대비1
82,매도호가직전대비2
83,매도호가직전대비3
84,매도호가직전대비4
85,매도호가직전대비5
86,매도호가직전대비6
87,매도호가직전대비7
88,매도호가직전대비8
89,매도호가직전대비9
90,매도호가직전대비10
91,매수호가직전대비1
92,매수호가직전대비2
93,매수호가직전대비3
94,매수호가직전대비4
95,매수호가직전대비5
96,매수호가직전대비6
97,매수호가직전대비7
98,매수호가직전대비8
99,매수호가직전대비9
100,매수호가직전대비10
101,매도호가건수1
102,매도호가건수2
103,매도호가건수3
104,매도호가건수4
105,매도호가건수5
111,매수호가건수1
112,매수호가건수2
113,매수호가건수3
114,매수호가건수4
115,매수호가건수5
121,매도호가총잔량
122,매도호가총잔량직전대비
123,매도호가총건수
125,매수호가총잔량
126,매수호가총잔량직전대비
127,매수호가총건수
128,순매수잔량
129,매수비율
131,시간외매도호가총잔량
132,시간외매도호가총잔량직전대비
135,시간외매수호가총잔량
136,시간외매수호가총잔량직전대비
137,호가순잔량
138,순매도잔량
139,매도비율
